,gene_ids,new_names
17688,AT1G74810,BOR5
17689,AT4G00670,AT4G00670
17690,AT1G78130,UNE2
17691,AT5G53020,AT5G53020
17692,AT1G71460,PCMP-A3
17693,AT3G18485,ILR2
17694,AT3G49600,UBP26
17695,AT5G38435,SPH8
17696,AT2G37130,PER21
17697,AT3G51325,AT3G51325
17698,AT5G40300,AT5G40300
17699,AT1G58215,NET2A
17700,AT1G04070,TOM9-1
17701,AT1G31255,AT1G31255
17702,AT3G46050,AT3G46050
17703,AT1G56350,PRFB2
17704,AT4G25290,AT4G25290
17705,AT1G28650,AT1G28650
17706,AT1G18760,AT1G18760
17707,AT1G78470,AT1G78470
17708,AT3G12380,ARP5
17709,AT3G61470,LHCA2
17710,AT5G53860,emb2737
17711,AT1G02150,AT1G02150
17712,AT5G56180,ARP8
17713,AT4G22517,AT4G22517
17714,AT3G61900,AT3G61900
17715,AT3G08900,RGP3
17716,AT1G54550,AT1G54550
17717,AT4G32580,AT4G32580
17718,AT5G12360,PANS2
17719,AT3G28450,BIR2
17720,AT1G49230,ATL78
17721,AT1G69935,SHW1
17722,AT1G17890,GER2
17723,AT5G19490,AT5G19490
17724,AT3G10930,AT3G10930
17725,AT1G56580,SVB
17726,AT1G75930,EXL6
17727,AT2G31560,AT2G31560
17728,AT1G47740,AT1G47740
17729,AT4G38401,AT4G38401
17730,AT4G39955,AT4G39955
17731,AT1G17600,AT1G17600
17732,ATMG00680,ORF122C
17733,AT1G59453,AT1G59453
17734,AT1G76200,AT1G76200
17735,AT3G59600,NRPB8B
17736,AT1G48460,AT1G48460
17737,AT3G13920,EIF4A1
17738,AT1G26310,CAL
17739,AT2G38530,LTP2
17740,AT5G52975,AT5G52975
17741,AT2G02650,AT2G02650
17742,AT3G07870,AT3G07870
17743,AT5G59895,AT5G59895
17744,AT1G48325,AT1G48325
17745,AT3G13200,EMB2769
17746,AT5G05113,AT5G05113
17747,AT2G22480,PFK5
17748,AT3G23220,ERF095
17749,AT4G33885,AT4G33885
17750,AT1G47260,GAMMACA2
17751,AT5G25330,AT5G25330
17752,AT5G19530,ACL5
17753,AT5G22430,AT5G22430
17754,AT5G14020,AT5G14020
17755,AT4G12280,AT4G12280
17756,AT3G04070,NAC047
17757,AT5G01360,TBL3
17758,AT1G04340,AT1G04340
17759,AT5G42660,AT5G42660
17760,AT2G24615,AT2G24615
17761,ATCG00840,RPL23-A
17762,AT2G34880,JMJ15
17763,AT3G06640,AT3G06640
17764,AT4G30350,SMXL2
17765,AT5G47020,AT5G47020
17766,AT5G43064,AT5G43064
17767,AT2G15042,AT2G15042
17768,AT2G25640,AT2G25640
17769,AT5G54210,AT5G54210
17770,AT5G15265,AT5G15265
17771,AT1G40086,AT1G40086
17772,AT4G30290,XTH19
17773,AT1G08660,SIA1
17774,AT1G71770,PAB5
17775,AT2G07634,AT2G07634
17776,AT1G60940,SRK2B
17777,AT4G14340,CKL11
17778,AT1G72060,AT1G72060
17779,AT2G32890,RALFL17
17780,AT4G00315,AT4G00315
17781,AT3G61230,PLIM2C
17782,AT3G10650,NUP1
17783,AT5G62070,IQD23
17784,AT4G29350,PRO2
17785,AT5G63600,FLS5
17786,AT5G50160,FRO8
17787,AT4G30210,ATR2
17788,AT4G24940,SAE1A
17789,AT2G43080,P4H1
17790,AT5G18330,PUB47
17791,AT4G01985,AT4G01985
17792,AT2G24300,AT2G24300
17793,AT1G11260,STP1
17794,AT1G29820,AT1G29820
17795,AT2G23270,AT2G23270
17796,AT4G39160,AT4G39160
17797,AT1G78210,AT1G78210
17798,AT2G02340,PP2B8
17799,AT2G44510,AT2G44510
17800,AT3G29770,MES11
17801,AT4G03200,AT4G03200
17802,AT3G54450,NPF5.4
17803,AT5G55856,SUMO8
17804,AT5G22770,ALPHA-ADR
17805,AT4G01180,AT4G01180
17806,AT4G19510,AT4G19510
17807,AT5G13090,AT5G13090
17808,AT2G14095,AT2G14095
17809,AT5G61170,RPS19C
17810,AT3G54050,CFBP1
17811,AT5G62990,emb1692
17812,AT4G16143,IMPA2
17813,AT5G44240,ALA2
17814,AT1G53250,AT1G53250
17815,AT5G54100,AT5G54100
17816,AT3G18390,EMB1865
17817,AT5G59730,ATEXO70H7
17818,AT3G19240,AT3G19240
17819,AT2G47770,TSPO
17820,AT2G07050,CAS1
17821,AT1G16040,AT1G16040
17822,AT2G23400,AT2G23400
17823,AT1G15165,AT1G15165
17824,AT3G60760,AT3G60760
17825,AT1G28160,ERF087
17826,AT3G48590,NFYC1
17827,AT4G34370,ARI1
17828,AT3G30305,AT3G30305
17829,AT3G10690,GYRA
17830,AT5G41270,AT5G41270
17831,AT1G33350,PCMP-E57
17832,AT5G06120,AT5G06120
17833,AT1G02965,AT1G02965
17834,AT2G34580,AT2G34580
17835,AT4G02270,RHS13
17836,AT1G20860,PHT1;8
17837,AT5G55760,SRT1
17838,AT1G09155,PP2B15
17839,AT5G09711,AT5G09711
17840,AT1G57600,AT1G57600
17841,AT3G22960,PKP1
17842,AT1G54510,NEK1
17843,AT4G21900,PRORP3
