,sample1,sample2,sample3
AT2G38500,76.80397618,4.711430009,5.864213179
AT2G38510,1.066721891,0,0
AT2G38530,2785.210859,1176.915216,954.8893793
AT2G38540,58844.64642,49594.39685,44155.5705
AT2G38550,2991.088184,2757.128841,2889.102359
AT2G38560,1628.884328,1582.098197,1875.570848
AT2G38570,488.5586263,563.4870291,481.8428495
AT2G38580,1090.189773,1212.722084,1299.900588
AT2G38590,0,17.90343404,2.932106589
AT2G08970,0,0,0
AT2G38600,3.200165674,6.596002013,3.909475453
AT2G38610,557.8955492,530.507019,539.5076125
AT2G38620,805.375028,791.5202415,1005.71256
AT2G38630,942.982152,869.7299797,1189.457906
AT2G38640,8.533775132,26.38400805,4.886844316
AT2G38650,2139.844114,2892.818026,2281.178927
AT2G38660,793.6410872,770.7899495,802.4198367
AT2G38670,2698.806385,3025.680352,3429.587341
AT2G38680,471.491076,513.545871,508.2318088
AT2G38690,80.00414186,176.2074823,224.7948385
AT2G38695,231.4786504,268.5515105,241.4101092
AT2G38700,2611.33519,2260.544118,2533.340093
AT2G38710,1478.476542,1613.193635,1441.619073
AT2G38720,272.0140823,196.9377744,287.3464458
AT2G38730,1033.653513,1130.743202,1254.94162
AT2G38740,708.3033359,557.8333131,733.0266474
AT2G38750,611.2316438,1072.32147,533.6433993
AT2G38760,305.082461,474.9121449,315.6901428
AT2G38770,2329.720611,2583.748217,2641.828037
AT2G38780,720.0372767,802.8276736,547.3265634
AT2G38790,73.60381051,80.09431016,67.43845156
AT2G38800,2218.781534,1904.36001,1304.787432
AT2G38810,2096.108517,2219.083534,3122.693518
AT2G38820,529.0940582,273.2629405,506.2770711
AT2G38823,114.1392424,139.4583283,126.0805833
AT2G38830,160.0082837,139.4583283,115.3295259
AT2G38840,878.9788386,955.4780059,727.1624342
AT2G38860,322.1500112,547.4681671,497.4807513
AT2G38870,899.2465545,604.9476132,663.6334581
AT2G38880,1345.136305,1155.242638,1315.53849
AT2G08980,0,0,0
AT2G38890,4.266887566,4.711430009,5.864213179
AT2G38900,125.8731832,0,46.91370543
AT2G38905,158.9415618,0,51.80054975
